,Postal Code,Borough,Neighbourhood,Latitude,Longitude
0,M3A,North York,Parkwoods,43.7532586,-79.3296565
1,M4A,North York,Victoria Village,43.725882299999995,-79.31557159999998
2,M5A,Downtown Toronto,Regent Park,43.6542599,-79.3606359
3,M5A,Downtown Toronto, Harbourfront,43.6542599,-79.3606359
4,M6A,North York,Lawrence Manor,43.718517999999996,-79.46476329999999
5,M6A,North York, Lawrence Heights,43.718517999999996,-79.46476329999999
6,M7A,Downtown Toronto,Queen's Park,43.6623015,-79.3894938
7,M7A,Downtown Toronto, Ontario Provincial Government,43.6623015,-79.3894938
8,M9A,Etobicoke,Islington Avenue,43.6678556,-79.53224240000002
9,M9A,Etobicoke, Humber Valley Village,43.6678556,-79.53224240000002
10,M1B,Scarborough,Malvern,43.806686299999996,-79.19435340000001
11,M1B,Scarborough, Rouge,43.806686299999996,-79.19435340000001
12,M3B,North York,Don Mills,43.745905799999996,-79.352188
13,M4B,East York,Parkview Hill,43.7063972,-79.309937
14,M4B,East York, Woodbine Gardens,43.7063972,-79.309937
15,M5B,Downtown Toronto,Garden District,43.6571618,-79.37893709999999
16,M5B,Downtown Toronto, Ryerson,43.6571618,-79.37893709999999
17,M6B,North York,Glencairn,43.709577,-79.44507259999999
18,M9B,Etobicoke,West Deane Park,43.6509432,-79.55472440000001
19,M9B,Etobicoke, Princess Gardens,43.6509432,-79.55472440000001
20,M9B,Etobicoke, Martin Grove,43.6509432,-79.55472440000001
21,M9B,Etobicoke, Islington,43.6509432,-79.55472440000001
22,M9B,Etobicoke, Cloverdale,43.6509432,-79.55472440000001
23,M1C,Scarborough,Rouge Hill,43.7845351,-79.16049709999999
24,M1C,Scarborough, Port Union,43.7845351,-79.16049709999999
25,M1C,Scarborough, Highland Creek,43.7845351,-79.16049709999999
26,M3C,North York,Don Mills,43.72589970000001,-79.340923
27,M4C,East York,Woodbine Heights,43.695343900000005,-79.3183887
28,M5C,Downtown Toronto,St. James Town,43.6514939,-79.3754179
29,M6C,York,Humewood-Cedarvale,43.6937813,-79.42819140000002
30,M9C,Etobicoke,Eringate,43.6435152,-79.57720079999999
31,M9C,Etobicoke, Bloordale Gardens,43.6435152,-79.57720079999999
32,M9C,Etobicoke, Old Burnhamthorpe,43.6435152,-79.57720079999999
33,M9C,Etobicoke, Markland Wood,43.6435152,-79.57720079999999
34,M1E,Scarborough,Guildwood,43.7635726,-79.1887115
35,M1E,Scarborough, Morningside,43.7635726,-79.1887115
36,M1E,Scarborough, West Hill,43.7635726,-79.1887115
37,M4E,East Toronto,The Beaches,43.67635739999999,-79.2930312
38,M5E,Downtown Toronto,Berczy Park,43.644770799999996,-79.3733064
39,M6E,York,Caledonia-Fairbanks,43.6890256,-79.453512
40,M1G,Scarborough,Woburn,43.7709921,-79.21691740000001
41,M4G,East York,Leaside,43.7090604,-79.3634517
42,M5G,Downtown Toronto,Central Bay Street,43.6579524,-79.3873826
43,M6G,Downtown Toronto,Christie,43.669542,-79.4225637
44,M1H,Scarborough,Cedarbrae,43.773136,-79.23947609999999
45,M2H,North York,Hillcrest Village,43.8037622,-79.3634517
46,M3H,North York,Bathurst Manor,43.7543283,-79.4422593
47,M3H,North York, Wilson Heights,43.7543283,-79.4422593
48,M3H,North York, Downsview North,43.7543283,-79.4422593
49,M4H,East York,Thorncliffe Park,43.7053689,-79.34937190000001
50,M5H,Downtown Toronto,Richmond,43.65057120000001,-79.3845675
51,M5H,Downtown Toronto, Adelaide,43.65057120000001,-79.3845675
52,M5H,Downtown Toronto, King,43.65057120000001,-79.3845675
53,M6H,West Toronto,Dufferin,43.66900510000001,-79.4422593
54,M6H,West Toronto, Dovercourt Village,43.66900510000001,-79.4422593
55,M1J,Scarborough,Scarborough Village,43.7447342,-79.23947609999999
56,M2J,North York,Fairview,43.7785175,-79.3465557
57,M2J,North York, Henry Farm,43.7785175,-79.3465557
58,M2J,North York, Oriole,43.7785175,-79.3465557
59,M3J,North York,Northwood Park,43.7679803,-79.48726190000001
60,M3J,North York, York University,43.7679803,-79.48726190000001
61,M4J,East York,East Toronto,43.685347,-79.3381065
62,M4J,East York, Broadview North (Old East York),43.685347,-79.3381065
63,M5J,Downtown Toronto,Harbourfront East,43.6408157,-79.38175229999999
64,M5J,Downtown Toronto, Union Station,43.6408157,-79.38175229999999
65,M5J,Downtown Toronto, Toronto Islands,43.6408157,-79.38175229999999
66,M6J,West Toronto,Little Portugal,43.647926700000006,-79.4197497
67,M6J,West Toronto, Trinity,43.647926700000006,-79.4197497
68,M1K,Scarborough,Kennedy Park,43.7279292,-79.26202940000002
69,M1K,Scarborough, Ionview,43.7279292,-79.26202940000002
70,M1K,Scarborough, East Birchmount Park,43.7279292,-79.26202940000002
71,M2K,North York,Bayview Village,43.7869473,-79.385975
72,M3K,North York,Downsview,43.737473200000004,-79.46476329999999
73,M4K,East Toronto,The Danforth West,43.6795571,-79.352188
74,M4K,East Toronto, Riverdale,43.6795571,-79.352188
75,M5K,Downtown Toronto,Toronto Dominion Centre,43.6471768,-79.38157640000001
76,M5K,Downtown Toronto, Design Exchange,43.6471768,-79.38157640000001
77,M6K,West Toronto,Brockton,43.6368472,-79.42819140000002
78,M6K,West Toronto, Parkdale Village,43.6368472,-79.42819140000002
79,M6K,West Toronto, Exhibition Place,43.6368472,-79.42819140000002
80,M1L,Scarborough,Golden Mile,43.711111700000004,-79.2845772
81,M1L,Scarborough, Clairlea,43.711111700000004,-79.2845772
82,M1L,Scarborough, Oakridge,43.711111700000004,-79.2845772
83,M2L,North York,York Mills,43.7574902,-79.37471409999999
84,M2L,North York, Silver Hills,43.7574902,-79.37471409999999
85,M3L,North York,Downsview,43.7390146,-79.5069436
86,M4L,East Toronto,India Bazaar,43.6689985,-79.31557159999998
87,M4L,East Toronto, The Beaches West,43.6689985,-79.31557159999998
88,M5L,Downtown Toronto,Commerce Court,43.6481985,-79.37981690000001
89,M5L,Downtown Toronto, Victoria Hotel,43.6481985,-79.37981690000001
90,M6L,North York,North Park,43.713756200000006,-79.4900738
91,M6L,North York, Maple Leaf Park,43.713756200000006,-79.4900738
92,M6L,North York, Upwood Park,43.713756200000006,-79.4900738
93,M9L,North York,Humber Summit,43.7563033,-79.56596329999999
94,M1M,Scarborough,Cliffside,43.716316,-79.23947609999999
95,M1M,Scarborough, Cliffcrest,43.716316,-79.23947609999999
96,M1M,Scarborough, Scarborough Village West,43.716316,-79.23947609999999
97,M2M,North York,Willowdale,43.789053,-79.40849279999999
98,M2M,North York, Newtonbrook,43.789053,-79.40849279999999
99,M3M,North York,Downsview,43.7284964,-79.49569740000001
100,M4M,East Toronto,Studio District,43.6595255,-79.340923
101,M5M,North York,Bedford Park,43.7332825,-79.4197497
102,M5M,North York, Lawrence Manor East,43.7332825,-79.4197497
103,M6M,York,Del Ray,43.6911158,-79.47601329999999
104,M6M,York, Mount Dennis,43.6911158,-79.47601329999999
105,M6M,York, Keelsdale and Silverthorn,43.6911158,-79.47601329999999
106,M9M,North York,Humberlea,43.7247659,-79.53224240000002
107,M9M,North York, Emery,43.7247659,-79.53224240000002
108,M1N,Scarborough,Birch Cliff,43.692657000000004,-79.2648481
109,M1N,Scarborough, Cliffside West,43.692657000000004,-79.2648481
110,M2N,North York,Willowdale,43.7701199,-79.40849279999999
111,M2N,North York, Willowdale East,43.7701199,-79.40849279999999
112,M3N,North York,Downsview,43.7616313,-79.52099940000001
113,M4N,Central Toronto,Lawrence Park,43.7280205,-79.3887901
114,M5N,Central Toronto,Roselawn,43.7116948,-79.41693559999999
115,M6N,York,Runnymede,43.67318529999999,-79.48726190000001
116,M6N,York, The Junction North,43.67318529999999,-79.48726190000001
117,M9N,York,Weston,43.706876,-79.51818840000001
118,M1P,Scarborough,Dorset Park,43.7574096,-79.27330400000001
119,M1P,Scarborough, Wexford Heights,43.7574096,-79.27330400000001
120,M1P,Scarborough, Scarborough Town Centre,43.7574096,-79.27330400000001
121,M2P,North York,York Mills West,43.752758299999996,-79.4000493
122,M4P,Central Toronto,Davisville North,43.7127511,-79.3901975
123,M5P,Central Toronto,Forest Hill North & West,43.6969476,-79.41130720000001
124,M5P,Central Toronto, Forest Hill Road Park,43.6969476,-79.41130720000001
125,M6P,West Toronto,High Park,43.6616083,-79.46476329999999
126,M6P,West Toronto, The Junction South,43.6616083,-79.46476329999999
127,M9P,Etobicoke,Westmount,43.696319,-79.53224240000002
128,M1R,Scarborough,Wexford,43.750071500000004,-79.2958491
129,M1R,Scarborough, Maryvale,43.750071500000004,-79.2958491
130,M2R,North York,Willowdale,43.7827364,-79.4422593
131,M2R,North York, Willowdale West,43.7827364,-79.4422593
132,M4R,Central Toronto,North Toronto West,43.7153834,-79.40567840000001
133,M4R,Central Toronto,  Lawrence Park,43.7153834,-79.40567840000001
134,M5R,Central Toronto,The Annex,43.6727097,-79.40567840000001
135,M5R,Central Toronto, North Midtown,43.6727097,-79.40567840000001
136,M5R,Central Toronto, Yorkville,43.6727097,-79.40567840000001
137,M6R,West Toronto,Parkdale,43.6489597,-79.456325
138,M6R,West Toronto, Roncesvalles,43.6489597,-79.456325
139,M7R,Mississauga,Canada Post Gateway Processing Centre,43.6369656,-79.61581899999999
140,M9R,Etobicoke,Kingsview Village,43.6889054,-79.55472440000001
141,M9R,Etobicoke, St. Phillips,43.6889054,-79.55472440000001
142,M9R,Etobicoke, Martin Grove Gardens,43.6889054,-79.55472440000001
143,M9R,Etobicoke, Richview Gardens,43.6889054,-79.55472440000001
144,M1S,Scarborough,Agincourt,43.7942003,-79.26202940000002
145,M4S,Central Toronto,Davisville,43.7043244,-79.3887901
146,M5S,Downtown Toronto,University of Toronto,43.6626956,-79.4000493
147,M5S,Downtown Toronto, Harbord,43.6626956,-79.4000493
148,M6S,West Toronto,Runnymede,43.6515706,-79.4844499
149,M6S,West Toronto, Swansea,43.6515706,-79.4844499
150,M1T,Scarborough,Clarks Corners,43.7816375,-79.3043021
151,M1T,Scarborough, Tam O'Shanter,43.7816375,-79.3043021
152,M1T,Scarborough, Sullivan,43.7816375,-79.3043021
153,M4T,Central Toronto,Moore Park,43.6895743,-79.38315990000001
154,M4T,Central Toronto, Summerhill East,43.6895743,-79.38315990000001
155,M5T,Downtown Toronto,Kensington Market,43.6532057,-79.4000493
156,M5T,Downtown Toronto, Chinatown,43.6532057,-79.4000493
157,M5T,Downtown Toronto, Grange Park,43.6532057,-79.4000493
158,M1V,Scarborough,Milliken,43.8152522,-79.2845772
159,M1V,Scarborough, Agincourt North,43.8152522,-79.2845772
160,M1V,Scarborough, Steeles East,43.8152522,-79.2845772
161,M1V,Scarborough, L'Amoreaux East,43.8152522,-79.2845772
162,M4V,Central Toronto,Summerhill West,43.68641229999999,-79.4000493
163,M4V,Central Toronto, Rathnelly,43.68641229999999,-79.4000493
164,M4V,Central Toronto, South Hill,43.68641229999999,-79.4000493
165,M4V,Central Toronto, Forest Hill SE,43.68641229999999,-79.4000493
166,M4V,Central Toronto, Deer Park,43.68641229999999,-79.4000493
167,M5V,Downtown Toronto,CN Tower,43.6289467,-79.3944199
168,M5V,Downtown Toronto, King and Spadina,43.6289467,-79.3944199
169,M5V,Downtown Toronto, Railway Lands,43.6289467,-79.3944199
170,M5V,Downtown Toronto, Harbourfront West,43.6289467,-79.3944199
171,M5V,Downtown Toronto, Bathurst Quay,43.6289467,-79.3944199
172,M5V,Downtown Toronto, South Niagara,43.6289467,-79.3944199
173,M5V,Downtown Toronto, Island airport,43.6289467,-79.3944199
174,M8V,Etobicoke,New Toronto,43.6056466,-79.50132070000001
175,M8V,Etobicoke, Mimico South,43.6056466,-79.50132070000001
176,M8V,Etobicoke, Humber Bay Shores,43.6056466,-79.50132070000001
177,M9V,Etobicoke,South Steeles,43.739416399999996,-79.5884369
178,M9V,Etobicoke, Silverstone,43.739416399999996,-79.5884369
179,M9V,Etobicoke, Humbergate,43.739416399999996,-79.5884369
180,M9V,Etobicoke, Jamestown,43.739416399999996,-79.5884369
181,M9V,Etobicoke, Mount Olive,43.739416399999996,-79.5884369
182,M9V,Etobicoke, Beaumond Heights,43.739416399999996,-79.5884369
183,M9V,Etobicoke, Thistletown,43.739416399999996,-79.5884369
184,M9V,Etobicoke, Albion Gardens,43.739416399999996,-79.5884369
185,M1W,Scarborough,Steeles West,43.799525200000005,-79.3183887
186,M1W,Scarborough, L'Amoreaux West,43.799525200000005,-79.3183887
187,M4W,Downtown Toronto,Rosedale,43.6795626,-79.37752940000001
188,M5W,Downtown Toronto,Stn A PO Boxes,43.6464352,-79.37484599999999
189,M8W,Etobicoke,Alderwood,43.60241370000001,-79.54348409999999
190,M8W,Etobicoke, Long Branch,43.60241370000001,-79.54348409999999
191,M9W,Etobicoke,Northwest,43.706748299999994,-79.5940544
192,M9W,Etobicoke, West Humber - Clairville,43.706748299999994,-79.5940544
193,M1X,Scarborough,Upper Rouge,43.836124700000006,-79.20563609999999
194,M4X,Downtown Toronto,St. James Town,43.667967,-79.3676753
195,M4X,Downtown Toronto, Cabbagetown,43.667967,-79.3676753
196,M5X,Downtown Toronto,First Canadian Place,43.6484292,-79.3822802
197,M5X,Downtown Toronto, Underground city,43.6484292,-79.3822802
198,M8X,Etobicoke,The Kingsway,43.653653600000005,-79.5069436
199,M8X,Etobicoke, Montgomery Road,43.653653600000005,-79.5069436
200,M8X,Etobicoke, Old Mill North,43.653653600000005,-79.5069436
201,M4Y,Downtown Toronto,Church and Wellesley,43.6658599,-79.38315990000001
202,M7Y,East Toronto,Business reply mail Processing Centre,43.6627439,-79.321558
203,M7Y,East Toronto, South Central Letter Processing Plant Toronto,43.6627439,-79.321558
204,M8Y,Etobicoke,Old Mill South,43.6362579,-79.49850909999999
205,M8Y,Etobicoke, King's Mill Park,43.6362579,-79.49850909999999
206,M8Y,Etobicoke, Sunnylea,43.6362579,-79.49850909999999
207,M8Y,Etobicoke, Humber Bay,43.6362579,-79.49850909999999
208,M8Y,Etobicoke, Mimico NE,43.6362579,-79.49850909999999
209,M8Y,Etobicoke, The Queensway East,43.6362579,-79.49850909999999
210,M8Y,Etobicoke, Royal York South East,43.6362579,-79.49850909999999
211,M8Y,Etobicoke, Kingsway Park South East,43.6362579,-79.49850909999999
212,M8Z,Etobicoke,Mimico NW,43.6288408,-79.52099940000001
213,M8Z,Etobicoke, The Queensway West,43.6288408,-79.52099940000001
214,M8Z,Etobicoke, South of Bloor,43.6288408,-79.52099940000001
215,M8Z,Etobicoke, Kingsway Park South West,43.6288408,-79.52099940000001
216,M8Z,Etobicoke, Royal York South West,43.6288408,-79.52099940000001
